"store","websites","attribute_set","type","category_ids","sku","has_options_disable","name","country_of_manufacture","is_returnable","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image_empty","small_image_empty","thumbnail_empty","custom_design","page_layout","options_container","gift_message_available","gift_wrapping_available","url_key","weight","price","special_price","msrp","gift_wrapping_price","status","visibility","ebizmarts_mark_visited","tax_class_id","is_recurring","description","short_description","tax_code","depth","height","width","fixed_shipping_price","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","brand","color","cost"
"admin","base","Đồ sơ sinh","simple","","CUBMT90CART","0","Chăn ủ bông mũ thú Carter","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","130000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn ủ bông mũ thú Carter","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CU120MIN","0","Chăn ủ Minizone","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","170000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn ủ Minizone","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CU165MC","0","Chăn ủ Mom care chần bông","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","200000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn ủ Mom care chần bông","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CUQ110SWAD","0","Chăn ủ quấn Swaddleme","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","140000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn ủ quấn Swaddleme","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CUX52JA","0","Chăn ủ xô Nhật","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","65000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn ủ xô Nhật","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CCS36HT","0","Chiếu cao su cho bé Lan Hương","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","40000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chiếu cao su cho bé Lan Hương","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CC18B","0","Chiếu cói bé","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","25000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chiếu cói bé","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CC35T","0","Chiếu cói to","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","42000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chiếu cói to","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CL12N","0","Chiếu lưới nhỏ","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","16000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chiếu lưới nhỏ","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CL12T","0","Chiếu lưới to","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","18000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chiếu lưới to","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","GB22R","0","Gen bụng mẹ rẻ","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","28000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Gen bụng mẹ rẻ","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KM28GERB","0","Khăn mặt Gerber baby","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","35000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn mặt Gerber baby","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KM18SM","0","Khăn mặt siêu mềm trẻ em","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","25000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn mặt siêu mềm trẻ em","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KS2L20","0","Khăn sữa cao cấp 2 lớp","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","25000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn sữa cao cấp 2 lớp","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KS3L23","0","Khăn sữa cao cấp 3 lớp","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","30000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn sữa cao cấp 3 lớp","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KS4L33","0","Khăn sữa cao cấp 4 lớp","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","40000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn sữa cao cấp 4 lớp","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KTG56MC","0","Khăn tam giác Mom's care","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","70000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn tam giác Mom's care","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KTX4L18CC","0","Khăn tắm xô cò 4L","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","25000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn tắm xô cò 4L","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KTX3L65JA","0","Khăn tắm xô Nhật 3L","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","75000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn tắm xô Nhật 3L","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","TMH26DIS","0","Khăn thấm mồ hôi Disney ","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","35000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn thấm mồ hôi Disney ","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KV4.5T","0","Khăn voan trắng","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","10000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn voan trắng","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KXHTL63JA","0","Khăn xô Nhật hoa túi lưới","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","80000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn xô Nhật hoa túi lưới","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KXHVT40JA","0","Khăn xô Nhật hoa viền trắng","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","50000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn xô Nhật hoa viền trắng","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","KXT37JA","0","Khăn xô Nhật trắng","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","45000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Khăn xô Nhật trắng","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","LT35JA60","0","Lót tè Nhật 60x70cm","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","45000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Lót tè Nhật 60x70cm","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","LT70JA70","0","Lót tè Nhật 70x120cm","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","85000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Lót tè Nhật 70x120cm","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","LX70X","0","Lót xu đẹp","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","90000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Lót xu đẹp","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","MDCM210HB","0","Màn đệm chống muỗi","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","240000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Màn đệm chống muỗi","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","MA65TL","0","Màn Thái đẹp","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","80000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Màn Thái đẹp","0","simple","","","","",""
